NumberOfDay;NumberOfTimestepPresentDay;HourPerDay;OrderedHourPerDay;CDF
1;62,00;5,17;0,00;0,002739726
2;47,00;3,92;0,00;0,005479452
3;45,00;3,75;0,00;0,008219178
4;19,00;1,58;0,00;0,010958904
5;22,00;1,83;0,00;0,01369863
6;0,00;0,00;0,00;0,016438356
7;62,00;5,17;0,00;0,019178082
8;46,00;3,83;0,00;0,021917808
9;32,00;2,67;0,00;0,024657534
10;84,00;7,00;0,00;0,02739726
11;41,00;3,42;0,00;0,030136986
12;1,00;0,08;0,00;0,032876712
13;11,00;0,92;0,00;0,035616438
14;63,00;5,25;0,00;0,038356164
15;42,00;3,50;0,00;0,04109589
16;42,00;3,50;0,00;0,043835616
17;51,00;4,25;0,00;0,046575342
18;31,00;2,58;0,00;0,049315068
19;0,00;0,00;0,08;0,052054795
20;23,00;1,92;0,08;0,054794521
21;50,00;4,17;0,08;0,057534247
22;64,00;5,33;0,08;0,060273973
23;65,00;5,42;0,08;0,063013699
24;33,00;2,75;0,17;0,065753425
25;50,00;4,17;0,17;0,068493151
26;7,00;0,58;0,17;0,071232877
27;6,00;0,50;0,25;0,073972603
28;63,00;5,25;0,25;0,076712329
29;56,00;4,67;0,25;0,079452055
30;25,00;2,08;0,33;0,082191781
31;38,00;3,17;0,33;0,084931507
32;26,00;2,17;0,33;0,087671233
33;7,00;0,58;0,33;0,090410959
34;9,00;0,75;0,33;0,093150685
35;17,00;1,42;0,33;0,095890411
36;30,00;2,50;0,42;0,098630137
37;52,00;4,33;0,42;0,101369863
38;62,00;5,17;0,42;0,104109589
39;50,00;4,17;0,42;0,106849315
40;5,00;0,42;0,42;0,109589041
41;8,00;0,67;0,42;0,112328767
42;44,00;3,67;0,42;0,115068493
43;110,00;9,17;0,50;0,117808219
44;53,00;4,42;0,50;0,120547945
45;44,00;3,67;0,50;0,123287671
46;35,00;2,92;0,50;0,126027397
47;0,00;0,00;0,50;0,128767123
48;25,00;2,08;0,58;0,131506849
49;39,00;3,25;0,58;0,134246575
50;39,00;3,25;0,58;0,136986301
51;49,00;4,08;0,58;0,139726027
52;69,00;5,75;0,67;0,142465753
53;50,00;4,17;0,67;0,145205479
54;5,00;0,42;0,67;0,147945205
55;18,00;1,50;0,67;0,150684932
56;59,00;4,92;0,75;0,153424658
57;59,00;4,92;0,75;0,156164384
58;44,00;3,67;0,75;0,15890411
59;68,00;5,67;0,75;0,161643836
60;15,00;1,25;0,75;0,164383562
61;5,00;0,42;0,83;0,167123288
62;19,00;1,58;0,83;0,169863014
63;35,00;2,92;0,92;0,17260274
64;42,00;3,50;0,92;0,175342466
65;36,00;3,00;0,92;0,178082192
66;67,00;5,58;0,92;0,180821918
67;4,00;0,33;0,92;0,183561644
68;15,00;1,25;0,92;0,18630137
69;4,00;0,33;0,92;0,189041096
70;51,00;4,25;1,00;0,191780822
71;82,00;6,83;1,00;0,194520548
72;31,00;2,58;1,00;0,197260274
73;40,00;3,33;1,08;0,2
74;37,00;3,08;1,08;0,202739726
75;1,00;0,08;1,17;0,205479452
76;11,00;0,92;1,17;0,208219178
77;44,00;3,67;1,17;0,210958904
78;47,00;3,92;1,25;0,21369863
79;30,00;2,50;1,25;0,216438356
80;64,00;5,33;1,25;0,219178082
81;29,00;2,42;1,25;0,221917808
82;1,00;0,08;1,25;0,224657534
83;8,00;0,67;1,25;0,22739726
84;78,00;6,50;1,33;0,230136986
85;47,00;3,92;1,33;0,232876712
86;20,00;1,67;1,33;0,235616438
87;66,00;5,50;1,33;0,238356164
88;2,00;0,17;1,33;0,24109589
89;0,00;0,00;1,33;0,243835616
90;4,00;0,33;1,42;0,246575342
91;33,00;2,75;1,42;0,249315068
92;36,00;3,00;1,42;0,252054795
93;16,00;1,33;1,50;0,254794521
94;44,00;3,67;1,50;0,257534247
95;34,00;2,83;1,58;0,260273973
96;0,00;0,00;1,58;0,263013699
97;5,00;0,42;1,58;0,265753425
98;37,00;3,08;1,58;0,268493151
99;54,00;4,50;1,58;0,271232877
100;31,00;2,58;1,58;0,273972603
101;64,00;5,33;1,58;0,276712329
102;27,00;2,25;1,58;0,279452055
103;0,00;0,00;1,67;0,282191781
104;20,00;1,67;1,67;0,284931507
105;50,00;4,17;1,67;0,287671233
106;36,00;3,00;1,75;0,290410959
107;56,00;4,67;1,83;0,293150685
108;40,00;3,33;1,83;0,295890411
109;42,00;3,50;1,83;0,298630137
110;0,00;0,00;1,92;0,301369863
111;6,00;0,50;1,92;0,304109589
112;47,00;3,92;2,00;0,306849315
113;90,00;7,50;2,00;0,309589041
114;50,00;4,17;2,00;0,312328767
115;32,00;2,67;2,00;0,315068493
116;33,00;2,75;2,00;0,317808219
117;4,00;0,33;2,00;0,320547945
118;30,00;2,50;2,00;0,323287671
119;31,00;2,58;2,08;0,326027397
120;37,00;3,08;2,08;0,328767123
121;33,00;2,75;2,08;0,331506849
122;37,00;3,08;2,08;0,334246575
123;62,00;5,17;2,17;0,336986301
124;3,00;0,25;2,17;0,339726027
125;28,00;2,33;2,17;0,342465753
126;34,00;2,83;2,17;0,345205479
127;80,00;6,67;2,25;0,347945205
128;26,00;2,17;2,25;0,350684932
129;49,00;4,08;2,25;0,353424658
130;30,00;2,50;2,25;0,356164384
131;5,00;0,42;2,33;0,35890411
132;9,00;0,75;2,33;0,361643836
133;45,00;3,75;2,33;0,364383562
134;28,00;2,33;2,33;0,367123288
