Day;Nombre de changement d'état par jour;NBChangeOrdered;CDF
1;18;0;0,003
2;14;0;0,005
3;14;0;0,008
4;10;0;0,011
5;6;0;0,014
6;0;0;0,016
7;15;0;0,019
8;11;0;0,022
9;12;0;0,025
10;16;0;0,027
11;12;0;0,030
12;2;0;0,033
13;2;0;0,036
14;18;0;0,038
15;10;0;0,041
16;12;0;0,044
17;14;0;0,047
18;2;0;0,049
19;0;1;0,052
20;10;1;0,055
21;18;2;0,058
22;20;2;0,060
23;12;2;0,063
24;16;2;0,066
25;14;2;0,068
26;4;2;0,071
27;2;2;0,074
28;15;2;0,077
29;14;2;0,079
30;4;2;0,082
31;10;2;0,085
32;8;2;0,088
33;4;2;0,090
34;2;2;0,093
35;4;2;0,096
36;12;2;0,099
37;12;2;0,101
38;12;2;0,104
39;20;2;0,107
40;4;2;0,110
41;6;2;0,112
42;8;2;0,115
43;16;2;0,118
44;18;2;0,121
45;16;2;0,123
46;8;2;0,126
47;0;2;0,129
48;8;2;0,132
49;14;2;0,134
50;12;2;0,137
51;9;3;0,140
52;13;4;0,142
53;16;4;0,145
54;4;4;0,148
55;10;4;0,151
56;14;4;0,153
57;10;4;0,156
58;20;4;0,159
59;12;4;0,162
60;12;4;0,164
61;2;4;0,167
62;4;4;0,170
63;16;4;0,173
64;16;4;0,175
65;12;4;0,178
66;14;4;0,181
67;4;4;0,184
68;2;4;0,186
69;4;4;0,189
70;10;4;0,192
71;12;4;0,195
72;9;4;0,197
73;9;4;0,200
74;10;4;0,203
75;2;4;0,205
76;6;4;0,208
77;10;4;0,211
78;16;4;0,214
79;10;4;0,216
80;6;4;0,219
81;16;4;0,222
82;2;4;0,225
83;4;4;0,227
84;22;4;0,230
85;14;5;0,233
86;8;5;0,236
87;22;5;0,238
88;2;5;0,241
89;0;5;0,244
90;2;5;0,247
91;14;5;0,249
92;16;6;0,252
93;14;6;0,255
94;10;6;0,258
95;12;6;0,260
96;0;6;0,263
97;2;6;0,266
98;13;6;0,268
99;15;6;0,271
100;10;6;0,274
101;18;6;0,277
102;12;6;0,279
103;0;6;0,282
104;7;6;0,285
105;18;6;0,288
106;13;6;0,290
107;15;6;0,293
