Timestep;NBPresence;NBPresencePercentage
0;3;0,057692308
1;2;0,038461538
2;1;0,019230769
3;0;0
4;0;0
5;0;0
6;0;0
7;1;0,019230769
8;1;0,019230769
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;1;0,019230769
15;1;0,019230769
16;1;0,019230769
17;1;0,019230769
18;1;0,019230769
19;2;0,038461538
20;2;0,038461538
21;1;0,019230769
22;1;0,019230769
23;2;0,038461538
24;3;0,057692308
25;3;0,057692308
26;3;0,057692308
27;2;0,038461538
28;1;0,019230769
29;1;0,019230769
30;1;0,019230769
31;1;0,019230769
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;1;0,019230769
42;1;0,019230769
43;1;0,019230769
44;1;0,019230769
45;1;0,019230769
46;0;0
47;1;0,019230769
48;2;0,038461538
49;1;0,019230769
50;1;0,019230769
51;1;0,019230769
52;2;0,038461538
53;3;0,057692308
54;2;0,038461538
55;3;0,057692308
56;3;0,057692308
57;2;0,038461538
58;2;0,038461538
59;1;0,019230769
60;1;0,019230769
61;1;0,019230769
62;1;0,019230769
63;1;0,019230769
64;1;0,019230769
65;1;0,019230769
66;1;0,019230769
67;1;0,019230769
68;2;0,038461538
69;2;0,038461538
70;2;0,038461538
71;3;0,057692308
72;3;0,057692308
73;2;0,038461538
74;2;0,038461538
75;1;0,019230769
76;1;0,019230769
77;1;0,019230769
78;1;0,019230769
79;2;0,038461538
80;2;0,038461538
81;1;0,019230769
82;1;0,019230769
83;1;0,019230769
84;2;0,038461538
85;3;0,057692308
86;4;0,076923077
87;6;0,115384615
88;7;0,134615385
89;7;0,134615385
90;8;0,153846154
91;9;0,173076923
92;6;0,115384615
93;8;0,153846154
94;7;0,134615385
95;10;0,192307692
96;15;0,288461538
97;15;0,288461538
98;15;0,288461538
99;16;0,307692308
100;20;0,384615385
101;19;0,365384615
102;13;0,25
103;13;0,25
104;15;0,288461538
105;20;0,384615385
106;19;0,365384615
107;17;0,326923077
108;16;0,307692308
109;18;0,346153846
110;19;0,365384615
111;19;0,365384615
112;21;0,403846154
113;17;0,326923077
114;17;0,326923077
115;19;0,365384615
116;19;0,365384615
117;18;0,346153846
118;16;0,307692308
119;17;0,326923077
120;17;0,326923077
121;17;0,326923077
122;17;0,326923077
123;19;0,365384615
124;16;0,307692308
125;17;0,326923077
126;20;0,384615385
127;21;0,403846154
128;22;0,423076923
129;17;0,326923077
130;24;0,461538462
131;20;0,384615385
132;20;0,384615385
133;16;0,307692308
134;17;0,326923077
135;15;0,288461538
136;14;0,269230769
137;15;0,288461538
138;14;0,269230769
139;14;0,269230769
140;13;0,25
141;16;0,307692308
142;14;0,269230769
143;12;0,230769231
144;16;0,307692308
145;19;0,365384615
146;18;0,346153846
147;18;0,346153846
148;17;0,326923077
149;19;0,365384615
150;17;0,326923077
151;20;0,384615385
152;21;0,403846154
153;20;0,384615385
154;20;0,384615385
155;21;0,403846154
156;19;0,365384615
157;22;0,423076923
158;21;0,403846154
159;18;0,346153846
160;18;0,346153846
161;20;0,384615385
162;24;0,461538462
163;22;0,423076923
164;22;0,423076923
165;21;0,403846154
166;22;0,423076923
167;19;0,365384615
168;18;0,346153846
169;17;0,326923077
170;17;0,326923077
171;16;0,307692308
172;18;0,346153846
173;19;0,365384615
174;19;0,365384615
175;19;0,365384615
176;20;0,384615385
177;18;0,346153846
178;16;0,307692308
179;16;0,307692308
180;20;0,384615385
181;20;0,384615385
182;18;0,346153846
183;17;0,326923077
184;18;0,346153846
185;17;0,326923077
186;15;0,288461538
187;16;0,307692308
188;17;0,326923077
189;19;0,365384615
190;20;0,384615385
191;20;0,384615385
192;18;0,346153846
193;13;0,25
194;13;0,25
195;15;0,288461538
196;13;0,25
197;21;0,403846154
198;22;0,423076923
199;22;0,423076923
200;22;0,423076923
201;24;0,461538462
202;26;0,5
203;30;0,576923077
204;27;0,519230769
205;25;0,480769231
206;22;0,423076923
207;19;0,365384615
208;19;0,365384615
209;17;0,326923077
210;18;0,346153846
211;16;0,307692308
212;11;0,211538462
213;11;0,211538462
214;9;0,173076923
215;5;0,096153846
216;3;0,057692308
217;3;0,057692308
218;4;0,076923077
